[     157ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3001/_next/static/chunks/031z_next_dist_07k66je._.js:2431
[     197ms] [LOG] [HMR] connected @ http://localhost:3001/_next/static/chunks/031z_next_dist_07k66je._.js:2431
[   73500ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed:  @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   74508ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   75510ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   76513ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   77516ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   78519ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   83525ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   88538ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   93551ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[   98570ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[  103631ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[  108775ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
[  114075ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=RtHc8VGScYLAIuVa_Ci3W' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/031z_next_dist_client_0uyy-1.._.js:13307
